ComplaintId,text,Category,FamilyId
1,Flagging an issue: Username change broke access to digital subscriptions tied to old email. Please advise.,account_access,template:account_access:5
2,Writing to complain: Blender motor smells like burning plastic during low-speed blending. Please advise.,product_defect,template:product_defect:6
3,"Hello, Courier left perishable groceries in the sun despite shade instructions.",delivery_shipping,template:delivery_shipping:1
4,Hi support — Tablet touchscreen registers ghost touches along the right edge.,product_defect,template:product_defect:7
5,Hi support — Authorized service charged labor despite comprehensive coverage plan.,warranty_repair,template:warranty_repair:3
6,Writing to complain: Locked out after suspicious login attempts I did not recognize. Please advise.,account_access,confusable:3
7,Hi support — Cancellation effective next year according to agent though terms say monthly.,subscription_cancel,template:subscription_cancel:4
8,Writing to complain: Can I buy spare filters in bulk through the corporate portal? Please advise.,general_inquiry,template:general_inquiry:4
9,Defective oven element failed again after warranty repair last quarter.,warranty_repair,confusable:2
10,Tablet touchscreen registers ghost touches along the right edge.,product_defect,template:product_defect:7
11,Complaint form submitted twice with no acknowledgement number.,customer_service,template:customer_service:7
12,"Hello, Express shipping paid but item arrived after the event date.",delivery_shipping,template:delivery_shipping:4
13,Hi support — Statement shows disputed charge I cannot mark or annotate online.,billing,overlap:7
14,Children's toy paint chipped off and looks unsafe after gentle play.,product_defect,template:product_defect:3
15,Writing to complain: Is the blue kettle dishwasher safe according to latest manual? Please advise.,general_inquiry,template:general_inquiry:2
16,Live agent closed ticket while issue was still unresolved.,customer_service,template:customer_service:5
17,Writing to complain: Authorized service billed labor despite comprehensive coverage plan. Please advise.,warranty_repair,template:warranty_repair:3
18,Hi support — Support email promised response in twenty-four hours but no follow-up after a week.,customer_service,template:customer_service:1
19,Flagging an issue: Driver picked up return box but refund timer has not started. Please advise.,refund_return,confusable:15
20,Hi support — Auto-renew toggled back on after software update without consent.,subscription_cancel,template:subscription_cancel:7
21,A late fee appeared on my account even though I paid before the due date.,billing,template:billing:2
22,"Hello, Extended protection plan will not cover water damage from known seal defect.",warranty_repair,template:warranty_repair:6
23,"Hello, Is the blue kettle dishwasher safe according to latest manual?",general_inquiry,template:general_inquiry:2
24,Someone changed shipping address and placed orders I did not approve.,fraud_unauthorized,template:fraud_unauthorized:1
25,Flagging an issue: Deleted account but streaming service continues charging old card. Please advise.,subscription_cancel,template:subscription_cancel:5
26,Flagging an issue: Defective oven element failed again after warranty repair last quarter. Please advise.,warranty_repair,confusable:2
27,Hi support — Blender motor smells like burning plastic during low-speed blending.,product_defect,template:product_defect:6
28,"Hello, Complaint form submitted twice with no acknowledgement number.",customer_service,template:customer_service:7
29,Writing to complain: Phishing email used your logo then my account had mystery withdrawals. Please advise.,fraud_unauthorized,template:fraud_unauthorized:5
30,Exchange requested but warehouse sent a different color than approved.,refund_return,template:refund_return:4
31,Hi support — Support quoted one price on chat but checkout billed a higher amount.,billing,confusable:11
32,Writing to complain: Representative gave conflicting answers about the same warranty claim. Please advise.,customer_service,template:customer_service:2
33,Flagging an issue: Tablet touchscreen registers ghost touches along the right edge. Please advise.,product_defect,template:product_defect:7
34,Hi support — What are store hours for the downtown location on public holidays?,general_inquiry,template:general_inquiry:0
35,"Hello, Where can I download compliance certificates for school procurement?",general_inquiry,template:general_inquiry:7
36,Flagging an issue: Card charged for renewal though I submitted cancellation before trial ended. Please advise.,subscription_cancel,overlap:8
37,Bill shows data overage charges although I was on an unlimited plan.,billing,template:billing:6
38,Single sign-on loop prevents access to member portal on mobile browser.,account_access,template:account_access:7
39,Writing to complain: Warranty inspection completed but authorized repair was never scheduled. Please advise.,warranty_repair,overlap:1
40,Flagging an issue: Statement shows disputed charge I cannot mark or annotate online. Please advise.,billing,overlap:7
41,Still billed monthly after confirming cancellation confirmation number.,subscription_cancel,template:subscription_cancel:1
42,Flagging an issue: Express shipping paid but item arrived after the event date. Please advise.,delivery_shipping,template:delivery_shipping:4
43,"Hello, Password reset keeps failing and I see logins from cities I never visited.",fraud_unauthorized,confusable:9
